rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
m/0814255,Ben McEachen,FALSE,Sunday Mail (Australia),Fresh,3.5/5,40218,"Whether audiences will get behind The Lightning Thief is hard to predict. Overall, it's an entertaining introduction to a promising new world -- but will the consuming shadow of Potter be too big to break free of?"
m/0814255,Bill Goodykoontz,TRUE,Arizona Republic,Fresh,3.5/5,40219,"Percy Jackson isn't a great movie, but it's a good one, trotting out kernels of Greek mythology like so many Disney Channel references."
m/0814255,Vic Holtreman,FALSE,Screen Rant,Fresh,3.5/5,40220,"Percy Jackson may not be ""Harry Potter good,"" but kids will really enjoy it and parents will be happy to have a moviethey can bring them to that's family-friendly."
m/0814255,Mark Dujsik,FALSE,Mark Reviews Movies,Rotten,2.5/4,40220,"Admirably, the movie isn't bogged down in the exposition common to first entries, but at the end, it's a franchise searching for its voice."
m/0814255,Dustin Putman,FALSE,TheFilmFile.com,Fresh,2.5/4,40220,"Imperfect, yes, but also both suitably imaginative and entertaining. Works as action-adventure razzle-dazzle, coming-of-age tale, and beginners' lesson on Greek mythology."
m/0814255,Rene Rodriguez,TRUE,Miami Herald,Fresh,2.5/4,40220,The Lightning Thief makes the idea of a sequel seem like an inviting proposition.
m/0814255,Kent Turner,FALSE,School Library Journal,Fresh,2.75/5,40220,"Columbus aims at nothing more than providing a rambunctious romp. He nimbly avoids the fate that has snared other film adaptations, like Eragon and Inkheart."
m/0814255,Joe Williams,TRUE,St. Louis Post-Dispatch,Fresh,2.5/4,40220,"The Lightning Thief isn't electric, but it generates some spark when it varies the Grecian formula."
m/0814255,Diva Velez,FALSE,St. Louis Post-Dispatch,Rotten,2.5/5,40221,The Lightning Thief is all crass ineptitude and lost potential. Columbus' infantilizing of any character depth and use of leftover Harry Potter special effects will amuse only the smallest in your pantheon.
m/0814255,Jenna Busch,FALSE,Newsarama,Rotten,5.5/10,40221,My problems with it are the same as with most screen adaptations of young adult novels...they spend so much time struggling to explain the world they're creating that they forget which parts of the story people want to see...they figure that people (kids)
m/0814255,Pete Hammond,FALSE,Boxoffice Magazine,Rotten,2.5/5,40221,Columbus knows his way around this kind of material even if some of the special effects look like they came from Deep Discount.
m/0814255,Daniel M. Kimmel,FALSE,North Shore Movies,Fresh,3.5/5,40221,"...great fun for the whole family. And if it introduces you and any young readers in your home to the books, so much the better."
m/0814255,Willie Waffle,FALSE,WaffleMovies.com,Rotten,1.5/4,40221,"While winning the award for longest movie title, it is a film that only goes through the motions."
m/0814255,Sonny Bunch,FALSE,Washington Times,Fresh,2.5/4,40221,Not without bright moments ... but the story is centered around a trio of young actors who simply aren't operating at the same skill level as their older costars.
m/0814255,Carrie Rickey,TRUE,Philadelphia Inquirer,Fresh,2.5/4,40221,"Like its stars, the film is genial good company."
m/0814255,Linda Barnard,TRUE,Toronto Star,Rotten,2.5/4,40221,"Unfortunately, the movie lacks that good old Potter charm, trading Harry's dark whimsy for a handful of CGI magic beans."
m/0814255,Sara Michelle Fetters,FALSE,MovieFreak.com,Fresh,2.5/4,40221,"Columbus and company have crafted an agreeable mythological jaunt the whole family will enjoy, and while I wouldn't pay more than matinee prices that still means making the quest to the multiplex is a journey worthy of the undertaking."
m/0814255,,FALSE,National Post,Rotten,2.5/4,40221,
m/0814255,S.T. VanAirsdale,FALSE,Movieline,Fresh,6.5/10,40221,Lerman has a presence even with a mouth full of bad dialogue.
m/0814255,Marc Savlov,FALSE,Austin Chronicle,Rotten,1.5/5,40221,"A dull, scattershot affair that owes much to both X-Men and Greek mythology but which never seems to slow down enough to make any sense whatsoever."
m/0814255,Jen Yamato,FALSE,Movies.com,Rotten,2.5/5,40222,"Director Columbus never quite gets comfortable juggling the film's myriad characters, grandiose-but-stale CGI effects, and PG-friendly battle scenes, speeding headlong through endless plot points rather than taking the time to make any of them matter."
m/0814255,Jayne Nelson,FALSE,SFX Magazine,Fresh,3.5/5,40228,"It's all jolly good fun, rattling along at a perfect pace with enough action setpieces and spectacle to keep both youngsters and adults happy."
m/0814255,Todd Hertz,FALSE,Christianity Today,Fresh,2.5/4,40242,"While this flick may not have Harry Potter's complex world and multiple layers, it also doesn't have the angst and darkness. It replaces them with one thing in bulk: Fun."
m/0814255,Joseph Proimakis,FALSE,Movies for the Masses,Rotten,2.5/5,40263,click to read full review
